Title,Link,Abstract
HVAC CONTROLLER WITH STREAMLINED SETUP,https://patents.justia.com/patent/20180017274,Abstract:  An HVAC controller may be configured to control any of a variety of different types of HVAC systems that may include any of a variety of different HVAC components. The HVAC controller may be configured to solicit inputs from an installer or other user that enables the HVAC controller to help prioritize installer setup parameter settings for the HVAC controller to properly control the particular HVAC equipment that is present at the installation.
VERSATILE HVAC CONTROLLER,https://patents.justia.com/patent/20140324229,"Abstract:  An HVAC controller for providing control signals to one or more HVAC components to control one or more environmental parameters in an inside space. The HVAC Controller may include a housing for housing a controller, a wired control port, and a wireless interface for optionally wirelessly connecting the HVAC controller to HVAC components and for wirelessly providing control signals generated by the controller to the HVAC components. The wired control port may connect the HVAC controller to the HVAC components via one or more wires and for providing control signals generated by the controller to the HVAC components via the one or more wires. The controller may be programmable to include control configurations comprising controlling via only the wired control port, via only the wireless interface, or via the wired control port and the wireless interface."
HVAC installation procedure for a telecommunications site,https://patents.justia.com/patent/20200077164,"Abstract:  A method of Heating, Ventilation, and Air Conditioning (HVAC) installation for a telecommunications site includes performing preparation to install a new HVAC unit to replace multiple existing HVAC units at the telecommunications site; installing an exhaust louver at a shelter of the telecommunications site; installing the new HVAC unit at the shelter, wherein the new HVAC unit is on an opposing wall as the exhaust louver such that airflow is enabled through an interior of the shelter; configuring the new HVAC unit, an associated controller, and one or more temperature sensors; testing the new HVAC unit ensuring operation through all programming cycles and free of alarms; and removing the multiple existing HVAC units."
HVAC system including energy analytics engine,https://patents.justia.com/patent/10731886,"Abstract:  A heating, ventilation, and air conditioning (HVAC) energy management control system includes an HVAC system configured to deliver at least one of heated air and cooled air to a targeted area; and a computing server including an HVAC energy analytics engine in signal communication with the HVAC system. The HVAC energy analytics engine is configured to actively learn historical data of the HVAC system based on at least one of the heated air and the cooled air produced over a time period. The HVAC energy analytics engine determines a predicted energy consumption of the HVAC system based on the historical data, and the HVAC system operates based on the predicted energy consumption."
HVAC SYSTEM AND METHOD OF IMPROVING LATENT CAPACITY,https://patents.justia.com/patent/20200096236,"Abstract:  A method of operating a heating, ventilation, and air conditioning (“HVAC”) system, the HVAC system comprising a first portion of evaporator circuits and a second portion of evaporator circuits, the first portion of evaporator circuits being adapted to receive refrigerant from a first refrigerant path and the second portion of evaporator circuits being adapted to receive the refrigerant from a second refrigerant path. The method comprises determining, by a controller of the HVAC system, a first value associated with the HVAC system, wherein: the first value is calculated based on a speed of an air blower of the HVAC system and a total capacity of the HVAC system and the air blower is operable to push a minimum volume of air in to the enclosed space."
REMOTE CONTROL OF AN HVAC SYSTEM THAT USES A COMMON TEMPERATURE SETPOINT FOR BOTH HEAT AND COOL MODES,https://patents.justia.com/patent/20180045425,"Abstract:  An HVAC system includes an HVAC unit having a cooling mode and a heating mode for conditioning the air in an inside space, and a programmable thermostat located remotely from the HVAC unit. The HVAC unit may have an onboard controller configured to control when the HVAC unit is in the cooling mode or heating mode, and whether the HVAC unit is activated or not. In some cases, the onboard controller of the HVAC unit may use a common temperature setpoint when controlling in the cooling mode and the heating mode. The programmable thermostat may have a programmable schedule with a plurality of time periods, where each time period has a heating setpoint and a cooling setpoint separated by a dead band. The onboard controller of the HVAC unit may be configured to accept input signals from the remotely located thermostat."
HVAC equipment having locating systems and methods,https://patents.justia.com/patent/10982868,Abstract:  Systems and methods for locating building equipment in a building management system (BMS) are provided. An HVAC system includes an HVAC controller and an HVAC device. The HVAC device includes processing circuit including a memory and a processor. The processing circuit automatically determining a location of the HVAC device reporting the location of the HVAC device to the HVAC controller.
"PREDICTIVE HVAC EQUIPMENT MONITORING SYSTEM, APPARATUS, AND METHOD",https://patents.justia.com/patent/20200256577,"Abstract:  A predictive HVAC equipment monitoring system, the predictive HVAC equipment monitoring system having an HVAC system with a first sensor of a sensor array disposed a vapor refrigerant line exiting from an evaporating unit of the HVAC system, the first sensor being adapted to gather pressure data, a second sensor of the sensor array disposed on a vapor refrigerant line entering a compressor of the HVAC system, the second sensor adapted to gather temperature data, and a predictive HVAC controlling unit, the predictive HVAC controlling unit adapted to receive the temperature and pressure data and evaluate the temperature and pressure data to determine whether a potential failure modality exists or is eminent, the first sensor further adapted to communicate with the predictive HVAC controlling unit, and the second sensor further adapted to communicate with the predictive HVAC controlling unit."
HVAC CONTROLLER WITH DIAGNOSTIC ALERTS,https://patents.justia.com/patent/20130158723,"Abstract:  An HVAC controller that monitors the performance of an HVAC system during its operating by comparing a monitored parameter value (e.g. delta T) to a pre-determined limit stored in the HVAC controller memory in order to determine if a performance limit has been violated. In some cases, the HVAC controller may display on a display of the HVAC controller a user alert for at least some of the detected violations. In some instances, the HVAC controller may display or otherwise provide a user alert only after a pre-determined number of performance violations are detected by the HVAC controller. Alternatively, or in addition, the HVAC controller may accept one or more conditions that indicate when a user alert for a detected violation is not to be displayed on the display of the HVAC controller."
"SYSTEMS AND METHODS FOR CONTROLLING OPERATION OF A HEATING,VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEM",https://patents.justia.com/patent/20250093064,"Abstract:  Embodiments of the disclosure describe systems and methods for controlling operation of a heating, ventilation, and air conditioning (HVAC) system. The HVAC system comprises a thermostat and a first HVAC unit coupled via a power line. The method comprises receiving, by a first control device of the first HVAC unit, from the thermostat over the power line, a HVAC signal associated with an operation to be performed by the HVAC system, wherein the power line is configured to communicate power signal and data signal. The method further comprises determining, by the first control device, whether the HVAC signal received over the power line is indicative of the power signal or the data signal. The method further comprises upon determining that the HVAC signal is indicative of the data signal, triggering, by the first control device, a control action associated with the HVAC system."
HVAC controller with HVAC system fault detection,https://patents.justia.com/patent/8902071,"Abstract:  An HVAC controller may be programmed to monitor a current delta T of an HVAC system and to determine a performance level of the HVAC system based, at least in part, on one or more delta T limits stored in the memory of the HVAC controller. The HVAC controller may be further programmed to display or provide a user alert if the performance level falls outside of a normal operating range for the HVAC system."
Remote control of an HVAC system that uses a common temperature setpoint for both heat and cool modes,https://patents.justia.com/patent/10422543,"Abstract:  An HVAC system includes an HVAC unit having a cooling mode and a heating mode for conditioning the air in an inside space, and a programmable thermostat located remotely from the HVAC unit. The HVAC unit may have an onboard controller configured to control when the HVAC unit is in the cooling mode or heating mode, and whether the HVAC unit is activated or not. In some cases, the onboard controller of the HVAC unit may use a common temperature setpoint when controlling in the cooling mode and the heating mode. The programmable thermostat may have a programmable schedule with a plurality of time periods, where each time period has a heating setpoint and a cooling setpoint separated by a dead band. The onboard controller of the HVAC unit may be configured to accept input signals from the remotely located thermostat."
"Staggered start-up HVAC system, a method for starting an HVAC unit and an HVAC controller configured for the same",https://patents.justia.com/patent/8977399,"Abstract:  An HVAC controller, a method of starting a HVAC unit and a HVAC system are disclosed herein. In one embodiment, the HVAC controller includes: (1) an interface configured to receive a delay originating signal and (2) a processor configured to automatically generate an offset delay value for the HVAC unit upon receipt of the delay originating signal and delay starting identified components of the HVAC unit based on the offset delay value."
SYSTEMS AND METHODS FOR PROVIDING CUSTOM APPLICATIONS FOR HVAC SYSTEMS,https://patents.justia.com/patent/20180135877,"Abstract:  A heating, ventilating, and air conditioning (HVAC) system is provided. The HVAC system includes a non-transitory computer readable medium that includes instructions that are configured to cause a processor to generate a custom application for an HVAC unit in response to an inquiry regarding the HVAC unit. The custom application comprises a custom sequence of equipment operation of the HVAC unit, and the custom application is configured to regulate operation of components of the HVAC unit. Moreover, the custom application comprises operating parameters and control parameters associated with the HVAC unit."
Remote control of an HVAC system that uses a common temperature setpoint for both heat and cool modes,https://patents.justia.com/patent/8950687,"Abstract:  An HVAC system includes an HVAC unit having a cooling mode and a heating mode for conditioning the air in an inside space, and a programmable thermostat located remotely from the HVAC unit. The HVAC unit may have an onboard controller configured to control when the HVAC unit is in the cooling mode or heating mode, and whether the HVAC unit is activated or not. In some cases, the onboard controller of the HVAC unit may use a common temperature setpoint when controlling in the cooling mode and the heating mode. The programmable thermostat may have a programmable schedule with a plurality of time periods, where each time period has a heating setpoint and a cooling setpoint separated by a dead band. The onboard controller of the HVAC unit may be configured to accept input signals from the remotely located thermostat."
HVAC sensor assembly and method,https://patents.justia.com/patent/8955344,"Abstract:  An HVAC sensor assembly for sensor deployment within an HVAC air passage defined by passage walls is provided. In some instances, the HVAC sensor assembly includes a base mountable to a passage wall of an HVAC air passage, and a support member attached to and extending out from the base and configured to project into the HVAC air passage. The HVAC sensor assembly may include one or more HVAC sensors secured to the support member such that the one or more HVAC sensors are positionable and then maintainable at a field configurable distance from the base."
SYSTEMS AND METHODS FOR PROVIDING CUSTOM APPLICATIONS FOR HVAC SYSTEMS,https://patents.justia.com/patent/20210156586,"Abstract:  A heating, ventilating, and air conditioning (HVAC) system is provided. The HVAC system includes a non-transitory computer readable medium that includes instructions that are configured to cause a processor to generate a custom application for an HVAC unit in response to an inquiry regarding the HVAC unit. The custom application comprises a custom sequence of equipment operation of the HVAC unit, and the custom application is configured to regulate operation of components of the HVAC unit. Moreover, the custom application comprises operating parameters and control parameters associated with the HVAC unit."
THERMOSTAT FOR A HVAC,https://patents.justia.com/patent/20140316586,"Abstract:  A thermostat for a HVAC comprising:    a data communication port for connection to the HVAC,  wherein the thermostat is arranged to  communicate via the data communication port an operating parameter of the HVAC, and estimate an energy consumption of the HVAC from the communicated operating parameter of the HVAC.     The operating parameter may express a fraction of a nominal load of the HVAC, the thermostat being arranged to estimate the energy consumption from a multiplication of the operating parameter and a nominal energy consumption parameter of the HVAC at the nominal load."
"HVAC unit, a method of generating a network address for a HVAC unit and a HVAC controller therefor",https://patents.justia.com/patent/9933174,"Abstract:  An HVAC controller, a method for operating a HVAC unit and a HVAC unit are disclosed herein. In one embodiment, the HVAC controller includes: (1) a memory configured to store a unique default network address for the controller and (2) a processor configured to automatically generate the unique default network address based on a seed value that is uniquely associated with the HVAC unit."
HVAC controller with streamlined setup,https://patents.justia.com/patent/10480810,Abstract:  An HVAC controller may be configured to control any of a variety of different types of HVAC systems that may include any of a variety of different HVAC components. The HVAC controller may be configured to solicit inputs from an installer or other user that enables the HVAC controller to help prioritize installer setup parameter settings for the HVAC controller to properly control the particular HVAC equipment that is present at the installation.
Method and System for Commissioning an HVAC System,https://patents.justia.com/patent/20240310804,"Abstract:  A method for configuring and commissioning an HVAC system, comprising generating, by a computing device, a configuration file for commissioning the HVAC system such that the HVAC system is brought into operation, wherein the configuration file is generated at a configuration site and the HVAC system is to be delivered to an operation site; uploading, by the computing device, the generated configuration file to a central storage unit; downloading, by a mobile device, the uploaded configuration file from the central storage unit; transmitting, by the mobile device, the downloaded configuration file to an HVAC control unit comprised in the HVAC system located at the operation site; and commissioning, by the HVAC control unit, the HVAC system located at the operation site with the transmitted configuration file."
REMOTE CONTROL OF AN HVAC SYSTEM THAT USES A COMMON TEMPERATURE SETPOINT FOR BOTH HEAT AND COOL MODES,https://patents.justia.com/patent/20120067561,"Abstract:  An HVAC system includes an HVAC unit having a cooling mode and a heating mode for conditioning the air in an inside space, and a programmable thermostat located remotely from the HVAC unit. The HVAC unit may have an onboard controller configured to control when the HVAC unit is in the cooling mode or heating mode, and whether the HVAC unit is activated or not. In some cases, the onboard controller of the HVAC unit may use a common temperature setpoint when controlling in the cooling mode and the heating mode. The programmable thermostat may have a programmable schedule with a plurality of time periods, where each time period has a heating setpoint and a cooling setpoint separated by a dead band. The onboard controller of the HVAC unit may be configured to accept input signals from the remotely located thermostat."
Control module for HVAC systems,https://patents.justia.com/patent/20020123896,"Abstract:  A control system for a heating, ventilating or air conditioning HVAC system includes a remote command receiver for receiving HVAC system instructions for the HVAC system; and conditioning HVAC system, including a remote command receiver for receiving HVAC system instructions for the HVAC system; and a control module, including (i) a speech receiving member for receiving speech commands; and (ii) a converter for converting the speech commands to HVAC system instructions; wherein the module is communicated with the receiver for conveying the HVAC system instructions from the module to the receiver."
Remote control of an HVAC system that uses a common temperature setpoint for both heat and cool modes,https://patents.justia.com/patent/9816719,"Abstract:  An HVAC system includes an HVAC unit having a cooling mode and a heating mode for conditioning the air in an inside space, and a programmable thermostat located remotely from the HVAC unit. The HVAC unit may have an onboard controller configured to control when the HVAC unit is in the cooling mode or heating mode, and whether the HVAC unit is activated or not. In some cases, the onboard controller of the HVAC unit may use a common temperature setpoint when controlling in the cooling mode and the heating mode. The programmable thermostat may have a programmable schedule with a plurality of time periods, where each time period has a heating setpoint and a cooling setpoint separated by a dead band. The onboard controller of the HVAC unit may be configured to accept input signals from the remotely located thermostat."
REMOTE CONTROL OF AN HVAC SYSTEM THAT USES A COMMON TEMPERATURE SETPOINT FOR BOTH HEAT AND COOL MODES,https://patents.justia.com/patent/20150127176,"Abstract:  An HVAC system includes an HVAC unit having a cooling mode and a heating mode for conditioning the air in an inside space, and a programmable thermostat located remotely from the HVAC unit. The HVAC unit may have an onboard controller configured to control when the HVAC unit is in the cooling mode or heating mode, and whether the HVAC unit is activated or not. In some cases, the onboard controller of the HVAC unit may use a common temperature setpoint when controlling in the cooling mode and the heating mode. The programmable thermostat may have a programmable schedule with a plurality of time periods, where each time period has a heating setpoint and a cooling setpoint separated by a dead band. The onboard controller of the HVAC unit may be configured to accept input signals from the remotely located thermostat."
Method for designing a HVAC air handling assembly for a climate control system,https://patents.justia.com/patent/6487525,"Abstract:  A method for designing a HVAC air handling assembly for a climate control system on a vehicle includes the step of selecting an architecture for the HVAC air handling assembly from a library stored in a memory of a computer system and selecting a HVAC component part from the library. The method also includes the step of generating a HVAC design using the HVAC architecture and the HVAC component part, determining if the HVAC design meets a predetermined criteria, and regenerating the HVAC design if the predetermined criteria is not met."
COORDINATED CONTROL OF HVAC SYSTEM USING AGGREGATED SYSTEM DEMAND,https://patents.justia.com/patent/20160349772,"Abstract:  A control system for an HVAC system having a plurality of HVAC components operably associated with one or more terminal units is provided. The control system includes a coordination module and a controller having a processor and a memory, the controller operably associated with the coordination module and in signal communication with the plurality of HVAC components. The controller is configured to determine an aggregated thermal demand of the HVAC system, determine, with the coordination module, an operational setpoint for at least one HVAC component of the plurality of HVAC components based on the determined aggregated thermal demand, and send a signal indicative of each determined operational setpoint to each associated HVAC component of the plurality of HVAC components."
"HVAC unit, a method of generating a network address for a HVAC unit and a HVAC controller therefor",https://patents.justia.com/patent/9441846,"Abstract:  An HVAC controller, a method for operating a HVAC unit and a HVAC unit are disclosed herein. In one embodiment, the HVAC controller includes: (1) a memory configured to store a unique default network address for the controller and (2) a processor configured to automatically generate the unique default network address based on a seed value that is uniquely associated with the HVAC unit."
DRAIN SPOUT FOR DRAIN OF HVAC SYSTEM,https://patents.justia.com/patent/20210190409,"Abstract:  A heating, ventilation, and/or air conditioning (HVAC) unit includes a drain pan configured to collect condensate generated by the HVAC unit. The HVAC unit also includes a drain spout having a rigid outlet port coupled to the drain pan and a flexible conduit coupled to the rigid outlet port. The drain spout is adjustable between a first configuration configured to discharge the condensate from the HVAC unit via a first opening of the HVAC unit and a second configuration configured to discharge the condensate from the HVAC unit via a second opening of the HVAC unit."
Method of Auto Association of HVAC Energy with Control Signal for Self Diagnostics of the HVAC System,https://patents.justia.com/patent/20210215367,"Abstract:  A system and method are described for self-diagnosing heating, ventilation and air conditioning (HVAC) systems. The system and method correlate an HVAC control mode of a particular HVAC unit with an energy usage for the particular HVAC unit in order to match normal patterns in energy usage with the HVAC control mode. This correlation allows the system and method to identify potential problems with the particular HVAC unit based on deviations from normal patterns."
VEHICLE HVAC SYSTEM,https://patents.justia.com/patent/20100087134,"Abstract:  An HVAC system for a vehicle is disclosed. The HVAC system may comprise an HVAC module configured to selectively direct conditioned air through an HVAC outlet; and an HVAC air distribution system including a duct operatively engaging the HVAC outlet to receive air flow therefrom, a top outlet configured to be positioned above an instrument panel, a heater outlet configured to be located below the instrument panel, and a diverter located in the duct and configured to selectively direct the air flow from the HVAC outlet through the duct to the top outlet and the heater outlet."
"A METHOD OF COMMUNICATION BETWEEN A REMOTE COMPUTER AND HEATING, VENTILATION AND AIR CONDITIONING HVAC DEVICES",https://patents.justia.com/patent/20250085008,"Abstract:  A method of communication between a remote computer and Heating, Ventilation and Air Conditioning HVAC devices includes communicatively connecting the HVAC devices to a communication bus via a bus communication interface of each HVAC device, selecting one of the HVAC devices having a remote communication interface as a gateway device, communicatively connecting the remote computer to the remote communication interface of the gateway device, identifying, by the HVAC gateway device, one or more of the HVAC devices connected to the communication bus by retrieving respective identification data of the HVAC devices via the bus communication interface, retrieving, by the gateway device, one or more device profiles corresponding to the identification data of the one or more identified HVAC devices, and enabling, by the gateway device using the retrieved one or more device profiles, data communication between the one or more identified HVAC devices and the remote computer."
HVAC Vent Screen Assembly,https://patents.justia.com/patent/20200370785,Abstract:  A HVAC vent screen assembly for inhibiting insects from passing through an HVAC vent includes a screen that is positionable over an HVAC vent in a building. In this way the screen inhibits insects from entering or exiting the HVAC vent. The screen is comprised of a fluid permeable material to pass air therethrough. A plurality of magnets is provided and each of the magnets is coupled to the screen. Each of the magnets magnetically engages the HVAC vent for retaining the screen over the HVAC vent.
HVAC control system for an automobile,https://patents.justia.com/patent/6304803,"Abstract:  A heating, ventilation, and air conditioning system for a vehicle including a front HVAC control system that communicates with a rear HVAC control system. The rear HVAC control system includes a control panel having mode, temperature, and blower speed controls. The front HVAC control system includes a control panel having a rear manual control switch for enabling/disabling manual control of the rear HVAC system via the rear HVAC control panel. A microprocessor communicates control information from the front HVAC control system to the rear HVAC control system regardless of the position of the rear manual control switch. Whether the supplied control information is used by the rear HVAC control system is determined by the rear manual switch."
Coordinated control of HVAC system using aggregated system demand,https://patents.justia.com/patent/9851727,"Abstract:  A control system for an HVAC system having a plurality of HVAC components operably associated with one or more terminal units is provided. The control system includes a coordination module and a controller having a processor and a memory, the controller operably associated with the coordination module and in signal communication with the plurality of HVAC components. The controller is configured to determine an aggregated thermal demand of the HVAC system, determine, with the coordination module, an operational setpoint for at least one HVAC component of the plurality of HVAC components based on the determined aggregated thermal demand, and send a signal indicative of each determined operational setpoint to each associated HVAC component of the plurality of HVAC components."
Automatic HVAC fan operation during warm-up stage,https://patents.justia.com/patent/8181475,Abstract:  A system and method for automatically operating an HVAC fan for an automotive vehicle is provided where the vehicle includes an occupant detection system and an HVAC system including an HVAC computer. The user sets the heating/cooling temperature of the HVAC system to maximum and then sets the HVAC system to an automatic mode. The occupant detection system determines if there is at least one occupant inside the vehicle. The HVAC computer then automatically operates the HVAC fan based on a response from the occupant detection system.
DETERMINING THE CAUSE OF A FAULT IN AN HVAC SYSTEM,https://patents.justia.com/patent/20200284456,"Abstract:  Devices, methods, and systems for determining the cause of a fault in a heating, ventilation, and air conditioning (HVAC) system are described herein. One device includes a memory, and a processor configured to execute executable instructions stored in the memory to receive operational data associated with an HVAC system, receive control logic associated with a controller of the HVAC system, determine a cause of a fault occurring in the HVAC system based, at least in part, on the operational data associated with the HVAC system and the control logic of the controller of the HVAC system, and provide the cause of the fault occurring in the HVAC system to a user."
DETERMINING THE CAUSE OF A FAULT IN AN HVAC SYSTEM,https://patents.justia.com/patent/20220120461,"Abstract:  Devices, methods, and systems for determining the cause of a fault in a heating, ventilation, and air conditioning (HVAC) system are described herein. One device includes a memory, and a processor configured to execute executable instructions stored in the memory to receive operational data associated with an HVAC system, receive control logic associated with a controller of the HVAC system, determine a cause of a fault occurring in the HVAC system based, at least in part, on the operational data associated with the HVAC system and the control logic of the controller of the HVAC system, and provide the cause of the fault occurring in the HVAC system to a user."
SYSTEMS AND METHODS FOR CREATING AND USING COMBINED PREDICTIVE MODELS TO CONTROL HVAC EQUIPMENT,https://patents.justia.com/patent/20180113482,"Abstract:  A heating, ventilation, or air conditioning (HVAC) system for a building includes HVAC equipment, a controller, and a predictive modeling system. The HVAC equipment are operable to affect an environmental condition in the building. The controller is configured to determine an operating point for the HVAC equipment and to operate the HVAC equipment at the operating point. The predictive modeling system includes a plurality of HVAC component models and one or more prediction combiners. The HVAC component models are configured to generate a plurality of component model predictions based on the operating point. The prediction combiners are configured to combine the plurality of component model predictions to form a combined model prediction. The controller is configured to use the combined model prediction to optimize the operating point and to operate the HVAC equipment at the optimized operating point."
DETERMINING THE CAUSE OF A FAULT IN AN HVAC SYSTEM,https://patents.justia.com/patent/20190086107,"Abstract:  Devices, methods, and systems for determining the cause of a fault in a heating, ventilation, and air conditioning (HVAC) system are described herein. One device includes a memory, and a processor configured to execute executable instructions stored in the memory to receive operational data associated with an HVAC system, receive control logic associated with a controller of the HVAC system, determine a cause of a fault occurring in the HVAC system based, at least in part, on the operational data associated with the HVAC system and the control logic of the controller of the HVAC system, and provide the cause of the fault occurring in the HVAC system to a user."
MODULAR TWO PHASE LOOP DISTRIBUTED HVAC&R SYSTEM,https://patents.justia.com/patent/20170191712,"Abstract:  An HVAC&R system is provided. The system includes a first pumping device configured to circulate a first volume of a first two-phase medium, a second pumping device configured to circulate a second volume of the first two-phase medium, a first plurality of secondary HVAC&R units, wherein at least one of the first plurality of secondary HVAC&R units is operably coupled to the first pumping device, a second plurality of secondary HVAC&R units, wherein at least one of the second plurality of secondary HVAC&R units is operably coupled to the second pumping device, a first primary HVAC&R unit operably coupled to at least one of the first plurality of secondary HVAC&R units and the first pumping device, and a second primary HVAC&R unit operably coupled to at least one of the second plurality of secondary HVAC&R units and the second pumping device."
SYSTEM AND METHOD FOR MANAGING POWER CONSUMPTION OF AN HVAC SYSTEM,https://patents.justia.com/patent/20200386434,"Abstract:  A system and method for managing power consumption of HVAC system includes a transfer switch, a detector interface and an HVAC controller of the HVAC system. The transfer switch is configured to switch a power line supplied to a load between a utility power source and a backup power source. The detector interface is in communication with the transfer switch or a controller of the backup power source and the HVAC controller. The HVAC controller is configured to receive data regarding the switching of power line supplied to the load between the utility power source and the backup power source and control an operation of components of the HVAC system based on the capacity of power source, thereby manages or lowers the power consumption of HVAC system. The detector interface is configured to provide switching information and capacity of the backup power source to the HVAC controller."
HVAC communication bus decoders and corresponding methods,https://patents.justia.com/patent/9377210,"Abstract:  In exemplary embodiments, HVAC communication bus decoders and corresponding methods are disclosed. In an exemplary embodiment, an HVAC communication bus decoder includes a control circuit having an input for coupling to an HVAC communication bus and one or more relays each having an output for coupling to a legacy HVAC system monitoring device. The control circuit is configured to read one or more messages transmitted on the HVAC communication bus, decode the one or more messages to determine a desired mode of operation called for by a thermostat connected to the HVAC communication bus, and energize at least one of the one or more relays to emulate a corresponding legacy HVAC signal representing the mode of operation called for by the thermostat to be provided to the legacy HVAC monitoring device."
HVAC Temperature Control System,https://patents.justia.com/patent/20200094652,"Abstract:  A heating, ventilation, and air conditioning (HVAC) system for a vehicle. The HVAC system includes an HVAC case. A first heat exchanger is within the HVAC case along a first airflow path defined by the HVAC case directing airflow to a driver side of the vehicle. A second heat exchanger is within the HVAC case along a second airflow path defined by the HVAC case directing airflow to a passenger side of the vehicle. Varying flowrate of heating medium through the first heat exchanger varies temperature of airflow to the driver side of the vehicle, and varying flowrate of heating medium through the second heat exchanger varies temperature of airflow to the passenger side of the vehicle."
HVAC controller with diagnostic alerts,https://patents.justia.com/patent/9002523,"Abstract:  An HVAC controller that monitors the performance of an HVAC system during its operating by comparing a monitored parameter value (e.g. delta T) to a pre-determined limit stored in the HVAC controller memory in order to determine if a performance limit has been violated. In some cases, the HVAC controller may display on a display of the HVAC controller a user alert for at least some of the detected violations. In some instances, the HVAC controller may display or otherwise provide a user alert only after a pre-determined number of performance violations are detected by the HVAC controller. Alternatively, or in addition, the HVAC controller may accept one or more conditions that indicate when a user alert for a detected violation is not to be displayed on the display of the HVAC controller."
ADVANCED MONITORING OF AN HVAC SYSTEM,https://patents.justia.com/patent/20200370777,"Abstract:  Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for advanced monitoring of an HVAC system. In some implementations, a voltage measurement across at least two interface terminals of a thermostat that controls an HVAC system of a property is obtained. The voltage measurements are analyzed. A likely power cycling activity of a component of the HVAC system is determined based on analyzing the voltage measurements. Whether the HVAC system is operating properly is determined based on the likely power cycling activity of the component of the HVAC system. Data indicating whether the HVAC system is operating properly is generated and outputted based on determining whether the HVAC system is operating properly."
Drain spout for drain of HVAC system,https://patents.justia.com/patent/11674741,"Abstract:  A heating, ventilation, and/or air conditioning (HVAC) unit includes a drain pan configured to collect condensate generated by the HVAC unit. The HVAC unit also includes a drain spout having a rigid outlet port coupled to the drain pan and a flexible conduit coupled to the rigid outlet port. The drain spout is adjustable between a first configuration configured to discharge the condensate from the HVAC unit via a first opening of the HVAC unit and a second configuration configured to discharge the condensate from the HVAC unit via a second opening of the HVAC unit."
HVAC CONTROLLER WITH USER ACTIVATED PERFORMANCE TEST,https://patents.justia.com/patent/20130158714,"Abstract:  An HVAC controller may include a user activated performance test for monitoring the performance of a connected HVAC system. In some cases, the user activated tests may cause the HVAC controller to operate the HVAC system and identify a current delta T of the HVAC system. In some cases, the identified current delta T may be displayed on a display of the HVAC controller for viewing and/or evaluation by the user. In some cases, a delta T limit may be accepted from the user through the user interface of the HVAC controller. In some cases, a minimum run time may also be received via the user interface of the HVAC controller. The delta T limit and/or the minimum run time may be based, at least in part, on the current delta T identified by the user activated performance test."
"AIRFLOW MANAGING SYSTEM, A METHOD OF MONITORING THE AIRFLOW IN AN HVAC SYSTEM AND A HVAC SYSTEM",https://patents.justia.com/patent/20100298993,"Abstract:  An airflow managing system for monitoring airflow of a HVAC system, a HVAC system and a method of monitoring the airflow in a HVAC system is provided. In one embodiment, the airflow managing system includes: (1) an air pressure sensor configured to obtain an air pressure measurement directly from a scroll of an air blower of the HVAC system and (2) a HVAC controller configured to determine an airflow rate for the HVAC system based on the air pressure measurement and corresponding parameters associated with the air blower."
Method of auto association of HVAC energy with control signal for self diagnostics of the HVAC system,https://patents.justia.com/patent/10962248,"Abstract:  A system and method are described for self-diagnosing heating, ventilation and air conditioning (HVAC) systems. The system and method correlate an HVAC control mode of a particular HVAC unit with an energy usage for the particular HVAC unit in order to match normal patterns in energy usage with the HVAC control mode. This correlation allows the system and method to identify potential problems with the particular HVAC unit based on deviations from normal patterns."
ADVANCED MONITORING OF AN HVAC SYSTEM,https://patents.justia.com/patent/20230033623,"Abstract:  Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for advanced monitoring of an HVAC system. In some implementations, a voltage measurement across at least two interface terminals of a thermostat that controls an HVAC system of a property is obtained. The voltage measurements are analyzed. A likely power cycling activity of a component of the HVAC system is determined based on analyzing the voltage measurements. Whether the HVAC system is operating properly is determined based on the likely power cycling activity of the component of the HVAC system. Data indicating whether the HVAC system is operating properly is generated and outputted based on determining whether the HVAC system is operating properly."
Systems and methods for providing custom applications for HVAC systems,https://patents.justia.com/patent/10907853,"Abstract:  A heating, ventilating, and air conditioning (HVAC) system is provided. The HVAC system includes a non-transitory computer readable medium that includes instructions that are configured to cause a processor to generate a custom application for an HVAC unit in response to an inquiry regarding the HVAC unit. The custom application comprises a custom sequence of equipment operation of the HVAC unit, and the custom application is configured to regulate operation of components of the HVAC unit. Moreover, the custom application comprises operating parameters and control parameters associated with the HVAC unit."
HVAC Communication Bus Decoders and Corresponding Methods,https://patents.justia.com/patent/20150176854,"Abstract:  In exemplary embodiments, HVAC communication bus decoders and corresponding methods are disclosed. In an exemplary embodiment, an HVAC communication bus decoder includes a control circuit having an input for coupling to an HVAC communication bus and one or more relays each having an output for coupling to a legacy HVAC system monitoring device. The control circuit is configured to read one or more messages transmitted on the HVAC communication bus, decode the one or more messages to determine a desired mode of operation called for by a thermostat connected to the HVAC communication bus, and energize at least one of the one or more relays to emulate a corresponding legacy HVAC signal representing the mode of operation called for by the thermostat to be provided to the legacy HVAC monitoring device."
