Title,Link,Sentence,Head,Tail,Relation
System and Method For Aligning HVAC Consumption With Photovoltaic Production With The Aid Of A Digital computer,https://patents.justia.com/patent/20190170381,A time series change in HVAC load data is used as input modified scenario values that represent an HVAC load shape.,load shape,hvac,facet of
System and Method For Aligning HVAC Consumption With Photovoltaic Production With The Aid Of A Digital computer,https://patents.justia.com/patent/20190170381,"Time series change in indoor temperature data can be calculated using only inputs of time series change in the time series HVAC load data combined with thermal mass, thermal conductivity, and HVAC efficiency.",hvac efficiency,hvac,facet of
System and Method For Aligning HVAC Consumption With Photovoltaic Production With The Aid Of A Digital computer,https://patents.justia.com/patent/20190170381,The approach is applicable for both winter and summer and can be applied when the building has an on-site PV system.,summer,winter,opposite of
"Systems for Calibrating Airflow Rates in Heating, Ventilating, and Air Conditioning (HVAC) Ducts and HVAC Systems Including the Same",https://patents.justia.com/patent/20170016642,"Airflow calibration systems are provided that are configured to be received in a duct of a heating, ventilating and air conditioning (HVAC) system.",duct,"heating, ventilating and air conditioning",part of
"Systems for Calibrating Airflow Rates in Heating, Ventilating, and Air Conditioning (HVAC) Ducts and HVAC Systems Including the Same",https://patents.justia.com/patent/20170016642,"The air flow calibration systems include a housing including an air flow grid; and at least one pressure sensing cell positioned in the housing, the at least one cell being configured such that air flows through the at least one cell when the airflow calibration system is positioned in the duct of the HVAC system.",duct,hvac system,part of
HVAC CONTROLLER WITH HVAC SYSTEM FAILURE DETECTION,https://patents.justia.com/patent/20130158715,"In some cases, the first predetermined amount of time may include a utility shutoff period component and/or a defrost cycle period component.",defrost cycle,shutoff period,subclass of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20180321699,"An HVAC controller may include a user interface, along with a memory for storing a recurring programmable schedule having two or more time periods.",user interface,hvac controller,part of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20180321699,"The user interface may be configured to allow manual modification by a user of the recurring schedule stored in the memory, wherein the user can associate an HVAC-off control mode with any of the two or more time periods.",hvac-off,control mode,subclass of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20180321699,"In the HVAC-off control mode, the HVAC controller may not cycle the HVAC unit on regardless of the temperature of the air in the inside space.",hvac-off control,hvac controller,facet of
HVAC CONTROLLER WITH FAULT SENSITIVITY,https://patents.justia.com/patent/20130158718,"In some cases, the HVAC controller may record a fault to a fault log and/or display an alert on the display of the HVAC controller only after a predetermined number of faults of the same fault type have been identified by the HVAC controller, sometime within a predetermined number of cycles of the HVAC system or within a predetermined amount of time.",fault log,fault,facet of
HVAC analytics,https://patents.justia.com/patent/10845079,The monitor control unit determines an action for correcting the error of the HVAC system.,monitor control unit,hvac system,part of
HVAC analytics,https://patents.justia.com/patent/10845079,"The monitor control unit provides, for output, data identifying the error of the HVAC system and the action for correcting the error of the HVAC system.",monitor control unit,hvac,use
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,A method and system of determining and displaying energy savings from an HVAC system operating in an energy saving mode.,energy saving mode,hvac,facet of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The HVAC system is operated to maintain a comfort mode temperature during a learning period.,comfort mode,hvac,facet of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The energy consumed by the HVAC system at multiple outside ambient conditions during the learning period is determined.,hvac,energy consumed,subclass of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The correlation between a specific ambient condition and energy consumed by the HVAC system is determined.,ambient condition,hvac system,facet of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The HVAC system is run to maintain an energy saving setpoint temperature.,setpoint temperature,hvac,facet of
Automated sealant application to assembled HVAC duct components and blanks for forming assembled HVAC duct components,https://patents.justia.com/patent/11408635,"A robotic system is provided for repeatedly and reproducibly applying a sealant to a seam in an assembled heating, ventilation and air conditioning (“HVAC”) duct component.",duct,"heating, ventilation and air conditioning",use
SYSTEM AND METHOD FOR OPERATING AN HVAC SYSTEM OF A VEHICLE,https://patents.justia.com/patent/20170368915,"Furthermore, an olfactory signal is generated for the user by means of an olfactory device of the HVAC system as an input confirmation.",input confirmation,hvac system,facet of
SYSTEM AND METHOD FOR OPERATING AN HVAC SYSTEM OF A VEHICLE,https://patents.justia.com/patent/20170368915,"Furthermore, a corresponding HVAC system for a vehicle is provided.",hvac system,vehicle,part of
HVAC EQUIPMENT SCREENING SYSTEMS,https://patents.justia.com/patent/20250075921,"In the present embodiments, the HVAC equipment is mounted operably on a roof of a building and the screening system is assembled operatively so as to surround the HVAC equipment.",roof,building,part of
HVAC EQUIPMENT SCREENING SYSTEMS,https://patents.justia.com/patent/20250075921,"The screening system includes a screen panel that is adjustable between a lower, closed position and an upper, open position, e.g., by moving at least part of the screen panel selectively upwardly or downwardly.",adjustable,screen panel,facet of
"CONFIGURATION MANAGEMENT SYSTEMS FOR HEATING, VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEMS",https://patents.justia.com/patent/20190264934,The controller is also configured to perform a control action in response to determining that the current configuration is different than the baseline configuration.,control action,configuration,part of
USB HVAC SERVICE VERIFICATION,https://patents.justia.com/patent/20100298984,Associated with the enclosure is an HVAC system control unit including a microcontroller for controlling an operation of the HVAC system.,microcontroller,hvac system control unit,use
USB HVAC SERVICE VERIFICATION,https://patents.justia.com/patent/20100298984,The HVAC system control unit further includes a memory associated with the microcontroller and configured to store data associated with operation of the HVAC system.,hvac system control unit,microcontroller,has part
USB HVAC SERVICE VERIFICATION,https://patents.justia.com/patent/20100298984,The microcontroller is configurable to directly transfer the data between the memory and a portable flash memory device.,flash memory,memory,subclass of
DEEP DRAW HVAC COILS WITH BUILT-IN SELF-CLEANING MECHANISM AND METHOD OF TREATING DEEP HVAC COILS,https://patents.justia.com/patent/20230280116,"For example, some embodiments of a deep HVAC coil include a series of built-in self-cleaning mechanisms disposed among an array of heat transfer coils.",heat transfer coil,hvac coil,subclass of
HVAC DOOR AND LINKAGE ASSEMBLY FOR DOORS ROTATING ALONG NON-PARALLEL AXES,https://patents.justia.com/patent/20200300481,"A heating, ventilation, and air conditioning (HVAC) door assembly includes a first HVAC door rotating about a first axis, a second HVAC door rotating about a second axis that is nonparallel with the first axis, an actuator, a mode cam.",mode cam,actuator,subclass of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,A monitoring system is configured to monitor a property.,monitoring system,monitor,use
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,The system further includes an HVAC system that is configured to generate and provide conditioned air to the property and that is configured to generate HVAC system data that reflects an attribute of the HVAC system.,conditioned air,hvac,subclass of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,The control unit is configured to determine that the HVAC system is likely operating correctly.,hvac,control unit,has part
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,A networked HVAC system is implemented as part of a multi-unit dwelling.,networked hvac system,hvac,subclass of
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,"Each individual HVAC unit includes a localized HVAC unit controller, which is connected to an external network.",hvac unit controller,hvac unit,part of
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,"The HVAC unit controller also can be connected to any other controllable HVAC devices in the unit, such as an exhaust fan.",exhaust fan,hvac,subclass of
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,The HVAC system also enables learning and predictive modeling for adapting to real-time and anticipated condition requirements within each zone.,predictive modeling,learning,subclass of
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,"The Control System includes 2 wireless contacts, 1 transformer, and 1 control keypad.",control keypad,control system,part of
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,"The Timer determines when the Relay engages and had dip switches and a timer dial that allows the delay to be set in seconds, minutes, or hours.",dip switch,timer,subclass of
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,The HVAC-ES operates when a door or window fitted with the wireless contacts is left open beyond the programmed time.,door,window,has part
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,Once the door or window is closed the relay disengages and the power to the HVAC unit is restored.,hvac unit,relay,has part
AUTOMATIC HVAC CONTROL SYSTEM,https://patents.justia.com/patent/20180058711,"An automatic HVAC control system is configured to control an HVAC unit, and the HVAC unit includes a heating mode and a cooling mode for modifying an air temperature of an inside space.",hvac unit,hvac control system,has part
DEVICES AND METHODS FOR INTERACTING WITH AN HVAC CONTROLLER,https://patents.justia.com/patent/20130297078,"In response to the command, the HVAC controller may perform an action and/or respond with a natural language text based message.",text based message,natural language,subclass of
DEVICES AND METHODS FOR INTERACTING WITH AN HVAC CONTROLLER,https://patents.justia.com/patent/20130297078,"In some cases, a user may communicate with the thermostat via an on-line social network.",social network,on-line,subclass of
SINGLE LINE CONTROL FOR HVAC ACTUATOR,https://patents.justia.com/patent/20080058966,Methods and systems for controlling an HVAC actuator using a single output control signal are disclosed.,actuator,hvac,use
SINGLE LINE CONTROL FOR HVAC ACTUATOR,https://patents.justia.com/patent/20080058966,"In one illustrative embodiment, the single output control signal may be a digital signal that serially encodes desired position data (either an absolute position or a relative position) for the HVAC actuator.",relative position,position data,subclass of
AUTOMATIC CHANGEOVER CONTROL FOR AN HVAC SYSTEM,https://patents.justia.com/patent/20120061068,"The present disclosure describes methods and apparatus for automatically changing between heating and cooling modes of an HVAC system, sometimes using a single or common set point in both modes.",heating and cooling modes,hvac system,facet of
"THERMOSTAT FOR CONTROLLING OPERATION OF A HEATING,VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEM",https://patents.justia.com/patent/20250093069,"Embodiments of the disclosure describe systems and methods for controlling operation of a heating, ventilation, and air conditioning (HVAC) system by a thermostat.",thermostat,"heating, ventilation, and air conditioning",part of
"THERMOSTAT FOR CONTROLLING OPERATION OF A HEATING,VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEM",https://patents.justia.com/patent/20250093069,The thermostat comprises a set of wires.,thermostat,wires,has part
"THERMOSTAT FOR CONTROLLING OPERATION OF A HEATING,VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEM",https://patents.justia.com/patent/20250093069,The method comprises determining an operation to be performed by the HVAC system based on at least one of a user input or one or more parameters associated with an indoor area.,hvac,indoor area,location
"THERMOSTAT FOR CONTROLLING OPERATION OF A HEATING,VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEM",https://patents.justia.com/patent/20250093069,"The set of wires comprises a common (C) line, a power line (R), and an outdoor activation (Y) line.",power line,line,subclass of
HVAC CONTROLLER WITH VENTILATION REVIEW MODE,https://patents.justia.com/patent/20180023826,Methods and systems for setting up HVAC controllers for a particular installation site are disclosed.,controllers,hvac,use
"HVAC SYSTEM, A CONTROLLER THEREFOR AND A METHOD OF MEASURING AND MANAGING VENTILATION AIRFLOW OF AN HVAC SYSTEM",https://patents.justia.com/patent/20130161403,"A controller, an HVAC system employing the controller and a computer programmable product to implement a method of measuring and managing ventilation airflow of an HVAC system is disclosed.",ventilation,hvac,subclass of
"HVAC SYSTEM, A CONTROLLER THEREFOR AND A METHOD OF MEASURING AND MANAGING VENTILATION AIRFLOW OF AN HVAC SYSTEM",https://patents.justia.com/patent/20130161403,"In one embodiment, the controller includes: (1) an interface configured to receive feedback data from the HVAC system, the feedback data corresponding to a pressure difference across the outdoor damper and an economizer damper position and (2) a ventilation director configured to determine a ventilation airflow rate of the HVAC system based on the pressure difference, the economizer damper position and economizer ventilation data of said HVAC system.",ventilation director,ventilation airflow,facet of
HVAC Low Voltage Components and Wiring Identification System,https://patents.justia.com/patent/20240302070,"The sender unit, manufactured as a compact and lightweight device, is connected to the low voltage power supply of the HVAC system, and generates a predetermined signal or frequency.",low voltage,power supply,subclass of
HVAC Low Voltage Components and Wiring Identification System,https://patents.justia.com/patent/20240302070,"The transceiver unit, equipped with an EMF sensor, detects the transmitted signal, and provides visual and audio feedback to indicate the presence of low voltage components.",low voltage,transceiver,subclass of
Multiple-unit HVAC energy management system,https://patents.justia.com/patent/4711394,"In addition to each zone having conventional primary supply and return air diffusers connected to its HVAC unit, there is an additional diffuser in each zone connected to the HVAC unit of the paired zone.",primary supply and return air diffuser,diffuser,subclass of
Multiple-unit HVAC energy management system,https://patents.justia.com/patent/4711394,A valve controls the air flow from each HVAC unit: to only the primary diffusers for its zone; or to both the primary diffusers for its zone and the additional diffusers for the other paired zone.,hvac unit,valve,has part
A METHOD OF GENERATING FOR A USER AUGMENTED REALITY INFORMATION RELATED TO AN HVAC COMPONENT,https://patents.justia.com/patent/20210116141,The augmented reality information (12) is displayed on a display unit (11) of the mobile communication device (1) and includes a user interface element (121) for initiating an operation of the HVAC component (2).,display unit,mobile communication device,part of
HVAC CONTROLLER WITH SAVE A WIRE TERMINAL,https://patents.justia.com/patent/20090140065,A HVAC controller for controlling the comfort level of at least a portion of a building is described.,hvac controller,comfort level,use
HVAC CONTROLLER WITH SAVE A WIRE TERMINAL,https://patents.justia.com/patent/20090140065,The HVAC controller may include a special purpose save a wire terminal that provides a multiplexed or otherwise encoded control signal.,wire terminal,hvac controller,subclass of
HVAC CONTROLLER WITH SAVE A WIRE TERMINAL,https://patents.justia.com/patent/20090140065,A demultiplexer module may be provided adjacent to the one or more HVAC components to demultiplex the multiplexed control signal.,hvac,control signal,has part
METHOD OF CONTROLLING A HVAC SYSTEM OF A VEHICLE,https://patents.justia.com/patent/20170297412,A method of controlling a HVAC system of a vehicle includes repeatedly sensing an area of a window of the vehicle that is not covered by frost with a sensor positioned adjacent the window.,sensor,sensing,use
"CONSTANT AIR VOLUME HVAC SYSTEM WITH A DEHUMIDIFICATION FUNCTION AND DISCHARGE AIR TEMPERATURE CONTROL, AN HVAC CONTROLLER THEREFOR AND A METHOD OF OPERATION THEREOF",https://patents.justia.com/patent/20100298987,"In one embodiment, the HVAC controller includes: (1) an interface configured to receive both a latent cooling demand and a sensible cooling demand and (2) a processor configured to direct both a dehumidification function and a discharge air temperature control function for a CAV HVAC system employing the latent cooling demand and the sensible cooling demand.",discharge air temperature control,hvac controller,subclass of
HVAC CONTROLLER AND A HVAC SYSTEM EMPLOYING DESIGNATED COMFORT SENSORS WITH PROGRAM SCHEDULE EVENTS,https://patents.justia.com/patent/20140031990,"In one embodiment, the controller includes: (1) an interface configured to receive programming data for the controller and (2) a memory configured to associate a program schedule event for the HVAC system to at least one comfort sensor of the enclosed space according to the programming data.",comfort sensor,hvac system,part of
HVAC SYSTEM CONTROLLER CONFIGURATION,https://patents.justia.com/patent/20150127173,The method further includes setting the one or more parameters in a memory of the HVAC system controller based on the one or more settings for the one or more parameters in the installation profile in response to receiving the input.,system controller,hvac,use
SMART THERMOSTAT FOR DUCTLESS HVAC UNITS,https://patents.justia.com/patent/20240068690,"In an embodiment, the system and method comprise using a smart thermostat to separately monitor the room temperature of a room in which a ductless HVAC device is installed, wherein the smart thermostat overrides the standard operation of the HVAC device by setting and re-setting the target temperature of the ductless HVAC device to force it to operate according to settings and algorithms of the smart thermostat which mimic the smart controls available on central HVAC systems.",smart thermostat,thermostat,subclass of
HVAC HEATING SYSTEM AND METHOD,https://patents.justia.com/patent/20200348062,The method includes maintaining a non-heating condition of the HVAC system component when the HVAC system component is in a non-operational state.,non-operational state,hvac system,facet of
HVAC SYSTEM CONFIGURATION WITH AUTOMATIC PARAMETER GENERATION,https://patents.justia.com/patent/20220196274,A method of configuring an HVAC system uses a Specifier Library that includes specifier options for a plurality of HVAC components.,specifier library,hvac,use
HVAC SYSTEM CONFIGURATION WITH AUTOMATIC PARAMETER GENERATION,https://patents.justia.com/patent/20220196274,The engineering tool creates a configuration package to configure a controller based at least in part on the user selections and the one or more points and downloads the configuration package to at least partially configure the controller.,configuration package,configuration,use
"HVAC ZONING DEVICES, SYSTEMS, AND METHODS",https://patents.justia.com/patent/20150369507,"The HVAC system may include HVAC components, sensors, and one or more register vents that may include vent dampers (e.g., electronically controllable vent dampers or manually operated vent dampers).",register vent,vent dampers,subclass of
"HVAC ZONING DEVICES, SYSTEMS, AND METHODS",https://patents.justia.com/patent/20150369507,"An HVAC control system may receive a request for conditioned air in one or more of the zones, determine a damper setting for at least one of the vent dampers, communicate the determined damper setting to a vent damper or user interface, determine which HVAC components should be active, if any, and/or provide controls signals to activate or keep active the HVAC components that are determined to be active.",damper,hvac control system,part of
HVAC CASE,https://patents.justia.com/patent/20200009938,A mount is at the airflow junction and is configured to individually mount a door and an airflow blocker at the airflow junction.,door,airflow blocker,has part
"STAGGERED START-UP HVAC SYSTEM, A METHOD FOR STARTING AN HVAC UNIT AND AN HVAC CONTROLLER CONFIGURED FOR THE SAME",https://patents.justia.com/patent/20150142181,"One aspect of the disclosure describes a controller for a heating, ventilation, and air conditioning (HVAC) unit.",controller,"heating, ventilation, and air conditioning",part of
"STAGGERED START-UP HVAC SYSTEM, A METHOD FOR STARTING AN HVAC UNIT AND AN HVAC CONTROLLER CONFIGURED FOR THE SAME",https://patents.justia.com/patent/20150142181,"In this embodiment, the interface is configured to receive a delay originating signal.",delay,originating signal,subclass of
HVAC System Air Intake Manager and Method of Using the Same,https://patents.justia.com/patent/20240377097,"The may include providing, providing an apparatus for managing return air intake in a HVAC system; positioning the air intake management apparatus in the space to be serviced by the HVAC system such that the return air outlet is in fluid communication with the existing return air vent of the HVAC system; and activating the HVAC system.",return air vent,hvac system,part of
METHODS AND SYSTEMS FOR HVAC INEFFICIENCY PREDICTION,https://patents.justia.com/patent/20200132327,"Systems and methods are provided for predicting inefficient HVAC operation, by obtaining first training data for HVACs in a training set of households during a first period of moderate weather; obtaining second training data for HVACs in the training set of households during a subsequent period of harsher weather; generating classification labels of the household locations of the training set according to the second training data; applying the first training data and the classification labels to train a supervised machine learning algorithm, to generate an HVAC classification model predictive of inefficiency during periods of harsher weather conditions; obtaining operational data pertaining to HVACs in an operational set of households during a second period of moderate weather; and applying the HVAC classification model to predict inefficiency of HVACs at individual households in the operational set during a second subsequent period of harsher weather.",supervised machine learning,algorithm,subclass of
INTEGRATED AIRBAG AND HVAC ASSEMBLY,https://patents.justia.com/patent/20150183390,The airbag module includes an airbag housing and an inflatable bladder at least partially disposed in the airbag housing.,inflatable bladder,airbag,part of
In-Molded Venturi for a Vehicle HVAC System,https://patents.justia.com/patent/20090188329,A second HVAC module housing section includes a second venturi portion.,venturi,hvac,subclass of
In-Molded Venturi for a Vehicle HVAC System,https://patents.justia.com/patent/20090188329,The first and second HVAC module housing sections form a HVAC mixing chamber and venturi chamber.,venturi chamber,hvac mixing chamber,subclass of
In-Molded Venturi for a Vehicle HVAC System,https://patents.justia.com/patent/20090188329,The first venturi portion mates with the second venturi portion to cooperatively form the venturi chamber.,venturi chamber,venturi,has part
SYSTEM AND METHOD FOR HVAC SYSTEM SCHEDULE GENERATION BASED ON USER DEFINED COMFORT LEVEL INPUTS,https://patents.justia.com/patent/20190360713,"A system and method for generating a schedule for a heating, ventilation, and air-conditioning (HVAC) system based on user-defined comfort level inputs.","heating, ventilation, and air-conditioning",hvac,subclass of
SYSTEM AND METHOD FOR HVAC SYSTEM SCHEDULE GENERATION BASED ON USER DEFINED COMFORT LEVEL INPUTS,https://patents.justia.com/patent/20190360713,The comfort indication element is usable by a user of the local computing device to adjust the present comfort profile temperature set point.,comfort profile,comfort indication,has part
SYSTEM AND METHOD FOR HVAC SYSTEM SCHEDULE GENERATION BASED ON USER DEFINED COMFORT LEVEL INPUTS,https://patents.justia.com/patent/20190360713,Additional embodiments are described herein.,additional embodiments,embodiments,subclass of
HVAC network verification system,https://patents.justia.com/patent/6535138,A system for verifying the operability of one or more HVAC devices in a communication network includes a network control device that sends a particular type of message to the HVAC devices.,network control device,communication network,part of
HVAC network verification system,https://patents.justia.com/patent/6535138,Each HVAC device may be visually checked to confirm that it is in fact responding to the message from the network control device.,network control device,hvac,subclass of
SYSEM FOR PREVENTIVE MAINTENANCE OF HVAC UNITS,https://patents.justia.com/patent/20220268472,There is described a system and method of a building management system for preventive maintenance of an HVAC unit.,building management system,hvac unit,facet of
SYSEM FOR PREVENTIVE MAINTENANCE OF HVAC UNITS,https://patents.justia.com/patent/20220268472,Runtime data of the HVAC unit is received at a control system remote from the HVAC unit.,remote,control system,facet of
SYSEM FOR PREVENTIVE MAINTENANCE OF HVAC UNITS,https://patents.justia.com/patent/20220268472,A hot-cold test for the HVAC unit is activated by the control system in response to receiving the registration message of the preventive maintenance visit from the service device.,hot-cold test,hvac unit,facet of
Method and apparatus for parking a return spring HVAC actuator at a closed position,https://patents.justia.com/patent/10550952,"An HVAC actuator that includes a motor to assist in driving an HVAC component between a first end stop and a second end stop, a return spring configured to provide a bias force toward the second end stop, and a controller operatively coupled to the motor.",motor,hvac actuator,part of
DEVICE-ASSISTED SETTINGS ADJUSTMENT FOR HVAC CONTROLLERS,https://patents.justia.com/patent/20150323209,"In an embodiment, a method for device-assisted adjustment of a HVAC unit controller is provided.",unit controller,hvac,use
DEVICE-ASSISTED SETTINGS ADJUSTMENT FOR HVAC CONTROLLERS,https://patents.justia.com/patent/20150323209,A HVAC unit controller receives a geographical location from a device over a data connection.,hvac unit controller,device,subclass of
DEVICE-ASSISTED SETTINGS ADJUSTMENT FOR HVAC CONTROLLERS,https://patents.justia.com/patent/20150323209,The location-specific setting information is specific to the geographical location.,location-specific setting information,geographical location,facet of
HVAC AUXILIARY DUCT ATTACHMENT,https://patents.justia.com/patent/20160039268,An auxiliary duct may be inserted into the opening formed in the wall to direct air to a specified location.,auxiliary duct,direct air,subclass of
SYSTEM AND METHOD FOR ENABLING AND CONTROLLING MANAGEMENT OF HVAC FEATURES,https://patents.justia.com/patent/20240353135,Disclosed is an HVAC system for enabling and controlling management of HVAC features.,disclosed,hvac system,use
SYSTEM AND METHOD FOR ENABLING AND CONTROLLING MANAGEMENT OF HVAC FEATURES,https://patents.justia.com/patent/20240353135,"The system includes at least one HVAC equipment, and at least one remote control device communicatively connected with the at least one HVAC equipment.",remote control,hvac,has part
SYSTEM AND METHOD FOR ENABLING AND CONTROLLING MANAGEMENT OF HVAC FEATURES,https://patents.justia.com/patent/20240353135,"The at least one remote control device includes a processor(s) configured to receive a request including an indication to enable and configure operational characteristic(s) of the at least one HVAC equipment, and at least one of user identification information or HVAC equipment identification information.",hvac equipment identification information,hvac equipment,facet of
SYSTEM AND METHOD FOR ENABLING AND CONTROLLING MANAGEMENT OF HVAC FEATURES,https://patents.justia.com/patent/20240353135,The processor(s) is further configured to determine a validity of the received request and to enable and configure the operational characteristic(s) upon determining that the received request is valid.,validity,request,subclass of
HVAC EQUIPMENT HEALTH CHECK AFTER WEATHER EVENT,https://patents.justia.com/patent/20250075925,The present invention relates to a heating ventilation air conditioning (HVAC) monitor.,heating ventilation air conditioning,hvac,subclass of
HVAC EQUIPMENT HEALTH CHECK AFTER WEATHER EVENT,https://patents.justia.com/patent/20250075925,The HVAC monitor queries a power database for historical and recovery power data and determines an average and daily power consumption of a customer premises.,hvac monitor,power database,uses
HVAC EQUIPMENT HEALTH CHECK AFTER WEATHER EVENT,https://patents.justia.com/patent/20250075925,The HVAC monitor predicts the operational state of an HVAC system based on a comparison of the daily power consumption and average power consumption and triggers an alert for initiating remedial operations if the operational state of the HVAC system is below a performance threshold.,hvac monitor,hvac,facet of
Intelligent HVAC register airflow control system,https://patents.justia.com/patent/9303890,Intelligent HVAC register is an HVAC register outlet which can control the temperature in a space by operating independently.,intelligent hvac register,hvac register outlet,subclass of
Intelligent HVAC register airflow control system,https://patents.justia.com/patent/9303890,The Intelligent HVAC register works in network with other vents within the system using low power wireless technology and a smart application so that the temperature of multiple individual spaces can be controlled while operating on a single HVAC system.,wireless technology,network,subclass of
Intelligent HVAC register airflow control system,https://patents.justia.com/patent/9303890,This enables more efficient use of energy as airflow to unused spaces can be blocked therefore keeping air pressure and efficiency higher in the spaces where temperature adjustments are necessary.,efficiency,energy,facet of
Intelligent HVAC register airflow control system,https://patents.justia.com/patent/9303890,Intelligent HVAC register can be controlled using a learning application on a smart device.,learning application,smart device,part of
Intelligent HVAC register airflow control system,https://patents.justia.com/patent/9303890,By setting the time & temperature needed in each space the Intelligent HVAC smart vane will automatically open or close to keep the room at the desired temperature.,smart vane,hvac,subclass of
Device and method for providing HVAC service assistance,https://patents.justia.com/patent/20020180590,An HVAC service assistance device assists individuals with troubleshooting their climate control systems and with contacting an HVAC contractor for service when necessary.,hvac service assistance device,hvac contractor,used by
Device and method for providing HVAC service assistance,https://patents.justia.com/patent/20020180590,Stored within the device is HVAC troubleshooting information that is conveniently provided to users on demand via an audio speaker and/or a visual display.,hvac,troubleshooting,subclass of
Device and method for providing HVAC service assistance,https://patents.justia.com/patent/20020180590,"By recording (or having prerecorded) their contact information in the service assistance device of the present invention, HVAC contractors may increase their opportunities for receiving repeat business from customers.",service assistance device,hvac contractors,use
Device and method for providing HVAC service assistance,https://patents.justia.com/patent/20020180590,"The service assistance device may further include a service call button which, when depressed, automatically sends a call for service to an HVAC contractor over a communication network, such as a telephone or computer network, using prerecorded contact information for the HVAC contractor.",computer network,communication network,subclass of
Auxiliary HVAC System for a Vehicle,https://patents.justia.com/patent/20140230482,A system for decreasing the response time of a vehicle heating ventilation and air conditioning (“HVAC”) system is described.,heating ventilation and air conditioning,hvac,subclass of
Auxiliary HVAC System for a Vehicle,https://patents.justia.com/patent/20140230482,Circulating air through the HVAC casing creates a high-pressure zone within the HVAC casing.,high-pressure zone,circulating air,subclass of
Auxiliary HVAC System for a Vehicle,https://patents.justia.com/patent/20140230482,A thermal expansion valve is located outside of the HVAC casing.,thermal expansion valve,hvac,facet of
Auxiliary HVAC System for a Vehicle,https://patents.justia.com/patent/20140230482,Air ported from the high-pressure zone may be directed toward the thermal expansion valve by a nozzle.,nozzle,thermal expansion valve,part of
Auxiliary HVAC System for a Vehicle,https://patents.justia.com/patent/20140230482,The air increases the temperature of the thermal expansion valve and allows additional refrigerant to flow through the thermal expansion valve.,thermal expansion valve,refrigerant,product or material produced
Increasing Vehicle Range by Minimizing Trapped HVAC Energy,https://patents.justia.com/patent/20120158241,A method of increasing a range of a vehicle by decreasing trapped HVAC energy at an end of a trip.,hvac,energy,uses
Minimizing Aggregate Power from HVAC Cooling and IT Equipment in a Data Center,https://patents.justia.com/patent/20120245738,"For each cooling zone in a data center, the mechanism monitors the average utilization of equipment in the cooling zone and selects the appropriate HVAC set point based on utilization.",cooling zone,hvac,subclass of
Minimizing Aggregate Power from HVAC Cooling and IT Equipment in a Data Center,https://patents.justia.com/patent/20120245738,The mechanism may determine efficiency to determine whether to adjust universal HVAC set points or the HVAC set points for each given cooling zone.,efficiency,cooling zone,facet of
Minimizing Aggregate Power from HVAC Cooling and IT Equipment in a Data Center,https://patents.justia.com/patent/20120245738,"Alternatively, the mechanism may go beyond binary control and compute actual data center efficiency metrics to decide on intermediate set points.",efficiency,data center,facet of
HVAC system with modular architecture,https://patents.justia.com/patent/11187418,"The mounting sleeve and the HVAC unit are configured to fit within the preexisting framing of a building, and in particular to be mounted in a wall, between pre-existing studs, of a room.",studs,building,part of
HVAC system with modular architecture,https://patents.justia.com/patent/11187418,"The HVAC unit can be installed into the mounting sleeve via quick connect mechanisms including, but not limited to, snap in connections and/or tab and slot features.",snap in connection,quick connect mechanisms,subclass of
HVAC system with modular architecture,https://patents.justia.com/patent/11187418,The mounting sleeve enables rapid installation and also condensate collection.,condensate,mounting sleeve,has part
