Title,Link,Sentence,Head,Tail,Relation
Systems and methods for creating and using combined predictive models to control HVAC equipment,https://patents.justia.com/patent/10372146,The controller is configured to determine an operating point for the HVAC equipment and to operate the HVAC equipment at the operating point.,operating point,HVAC,facet of
Systems and methods for creating and using combined predictive models to control HVAC equipment,https://patents.justia.com/patent/10372146,The predictive modeling system includes a plurality of HVAC component models and one or more prediction combiners.,component model,HVAC,subclass of
Systems and methods for creating and using combined predictive models to control HVAC equipment,https://patents.justia.com/patent/10372146,The HVAC component models are configured to generate a plurality of component model predictions based on the operating point.,HVAC component model,component model,subclass of
Systems and methods for creating and using combined predictive models to control HVAC equipment,https://patents.justia.com/patent/10372146,The controller is configured to use the combined model prediction to optimize the operating point and to operate the HVAC equipment at the optimized operating point.,operating point,HVAC,facet of
HVAC ANALYTICS,https://patents.justia.com/patent/20210071889,The monitor control unit determines an action for likely correcting the error of the HVAC system.,monitor control unit,HVAC system,facet of
HVAC ANALYTICS,https://patents.justia.com/patent/20210071889,"The monitor control unit provides, for output, data identifying the error of the HVAC system and the action for likely correcting the error of the HVAC system.",monitor control unit,HVAC system,facet of
Display for HVAC systems in remote control units,https://patents.justia.com/patent/9151510,An HVAC remote controller for use in an HVAC system is described.,HVAC remote controller,HVAC system,use
Display for HVAC systems in remote control units,https://patents.justia.com/patent/9151510,"In some instances, the HVAC remote controller may include a wireless interface for communicating with one or more HVAC controllers and/or other HVAC devices.",HVAC remote controller,HVAC controller,subclass of
Display for HVAC systems in remote control units,https://patents.justia.com/patent/9151510,"The HVAC remote control unit may be configured to display two or more option on a display, wherein the user may be allowed to select one of the two or more options resulting in a selected option.",remote control unit,HVAC,use
Display for HVAC systems in remote control units,https://patents.justia.com/patent/9151510,The HVAC remote control unit may display a visual cue for the selected option that visually distinguishes the selected option from the remaining options.,remote control unit,HVAC,use
Display for HVAC systems in remote control units,https://patents.justia.com/patent/9151510,The visual cue may include a different border for the selected option than the remaining options and/or a marker within or adjacent to the border.,border,visual cue,subclass of
Display for HVAC systems in remote control units,https://patents.justia.com/patent/9151510,"It is also contemplated that a similar visual cue may be used in conjunction with an HVAC controller display, if desired.",HVAC controller,visual cue,has part
HVAC REMOTE CONTROL UNIT,https://patents.justia.com/patent/20090140063,An HVAC remote control unit for use in an HVAC system is described.,HVAC remote control unit,HVAC,use
HVAC REMOTE CONTROL UNIT,https://patents.justia.com/patent/20090140063,"In some instances, an HVAC remote control unit may be provided that wirelessly communicates with two or more HVAC controllers and/or other HVAC devices in a zoned HVAC system.",HVAC remote control unit,HVAC controllers,subclass of
HVAC REMOTE CONTROL UNIT,https://patents.justia.com/patent/20090140063,"When so provided, the remote control unit may be configured to allow a user to select between two or more zones of the zoned HVAC system, and to load one or more of the parameters and/or settings associated with a selected zone via the wireless interface.",zones,HVAC system,facet of
Determining the cause of a fault in an HVAC system,https://patents.justia.com/patent/11243005,"Devices, methods, and systems for determining the cause of a fault in a heating, ventilation, and air conditioning (HVAC) system are described herein.","heating, ventilation, and air conditioning",HVAC,subclass of
Determining the cause of a fault in an HVAC system,https://patents.justia.com/patent/11243005,"One device includes a memory, and a processor configured to execute executable instructions stored in the memory to receive operational data associated with an HVAC system, receive control logic associated with a controller of the HVAC system, determine a cause of a fault occurring in the HVAC system based, at least in part, on the operational data associated with the HVAC system and the control logic of the controller of the HVAC system, and provide the cause of the fault occurring in the HVAC system to a user.",memory,processor,used by
A METHOD AND A MOBILE COMMUNICATION DEVICE FOR CONTROLLING AN HVAC COMPONENT IN A BUILDING,https://patents.justia.com/patent/20210071896,Identifier information is obtained from the physical identifier object (5) by a mobile communication device (1) and transmitted via the wireless network (6) to a remote computer system (2).,physical identifier,Identifier,subclass of
A METHOD AND A MOBILE COMMUNICATION DEVICE FOR CONTROLLING AN HVAC COMPONENT IN A BUILDING,https://patents.justia.com/patent/20210071896,The remote computer system (2) returns HVAC component data linked to the identifier information.,remote computer system,HVAC,facet of
A METHOD AND A MOBILE COMMUNICATION DEVICE FOR CONTROLLING AN HVAC COMPONENT IN A BUILDING,https://patents.justia.com/patent/20210071896,The mobile communication device (1) uses the component data for generating a user interface (100) for an HVAC virtual room unit for controlling the HVAC component (3).,virtual room unit,HVAC,subclass of
HVAC controller with predictive cost optimization,https://patents.justia.com/patent/11953865,The processing circuit is configured to perform a second optimization subject to a constraint based on a result of the first optimization to generate a second set of control decisions for the HVAC equipment and to combine the first and second sets to generate a combined set of control decisions for the HVAC equipment.,control decisions,optimization,subclass of
HVAC controller with predictive cost optimization,https://patents.justia.com/patent/11953865,The processing circuit is configured to operate the HVAC equipment in accordance with the combined set of control decisions.,HVAC,processing circuit,has part
POWER DISTRIBUTION PRICING METHOD OF COMMERCIAL HVAC SYSTEM AND APPARATUS AND METHOD FOR LOAD SCHEDULING OF HVAC SYSTEM USING SAID PRICING METHOD,https://patents.justia.com/patent/20200286188,Provided is a power distribution pricing method of the commercial HVAC system and an apparatus and method for load scheduling of the HVAC system utilizing the same.,load scheduling,HVAC,facet of
HVAC SYSTEM GRADING SYSTEMS AND METHODS,https://patents.justia.com/patent/20150323211,"A second tracking module increments a second period of time when, during the predetermined period of time: (i) the HVAC system is ON and (ii) a split temperature of the HVAC system is outside of a temperature range of the HVAC system.",temperature range,temperature,subclass of
HVAC SYSTEM GRADING SYSTEMS AND METHODS,https://patents.justia.com/patent/20150323211,A grade determination module determines a grade of the HVAC system for the predetermined period of time based on both the first period of time and the second period of time.,grade determination module,HVAC system,facet of
HVAC SYSTEM GRADING SYSTEMS AND METHODS,https://patents.justia.com/patent/20150323211,A reporting module generates a displayable report for the HVAC system for the predetermined period of time.,HVAC,system,part of
HVAC SYSTEM GRADING SYSTEMS AND METHODS,https://patents.justia.com/patent/20150323211,The report includes the grade of the HVAC system for the predetermined period of time.,HVAC,system,subclass of
Method of clearing an HVAC control fault code memory,https://patents.justia.com/patent/20060179341,A method of clearing an HVAC control fault code memory is disclosed.,fault code,HVAC control,facet of
HVAC analytics,https://patents.justia.com/patent/11739963,The monitor control unit determines an action for likely correcting the error of the HVAC system.,monitor control unit,HVAC system,facet of
HVAC analytics,https://patents.justia.com/patent/11739963,"The monitor control unit provides, for output, data identifying the error of the HVAC system and the action for likely correcting the error of the HVAC system.",monitor control unit,HVAC system,facet of
HVAC SYSTEM AND METHOD OF INSTALLING HVAC SYSTEM,https://patents.justia.com/patent/20240377077,The refrigerant lines may be disconnected from one of the first and second HVAC units and shipped to an installation location.,HVAC,refrigerant lines,has part
System and Method For Aligning HVAC Consumption With Photovoltaic Production With The Aid Of A Digital computer,https://patents.justia.com/patent/20190170381,A time series change in HVAC load data is used as input modified scenario values that represent an HVAC load shape.,load shape,HVAC,facet of
System and Method For Aligning HVAC Consumption With Photovoltaic Production With The Aid Of A Digital computer,https://patents.justia.com/patent/20190170381,"Time series change in indoor temperature data can be calculated using only inputs of time series change in the time series HVAC load data combined with thermal mass, thermal conductivity, and HVAC efficiency.",HVAC efficiency,HVAC,facet of
System and Method For Aligning HVAC Consumption With Photovoltaic Production With The Aid Of A Digital computer,https://patents.justia.com/patent/20190170381,The approach is applicable for both winter and summer and can be applied when the building has an on-site PV system.,summer,winter,opposite of
Determining the cause of a fault in an HVAC system,https://patents.justia.com/patent/10677485,"Devices, methods, and systems for determining the cause of a fault in a heating, ventilation, and air conditioning (HVAC) system are described herein.","heating, ventilation, and air conditioning",HVAC,subclass of
Determining the cause of a fault in an HVAC system,https://patents.justia.com/patent/10677485,"One device includes a memory, and a processor configured to execute executable instructions stored in the memory to receive operational data associated with an HVAC system, receive control logic associated with a controller of the HVAC system, determine a cause of a fault occurring in the HVAC system based, at least in part, on the operational data associated with the HVAC system and the control logic of the controller of the HVAC system, and provide the cause of the fault occurring in the HVAC system to a user.",memory,processor,used by
"Airflow managing system, a method of monitoring the airflow in an HVAC system and a HVAC system",https://patents.justia.com/patent/8880224,"In one embodiment, the airflow managing system includes: (1) an air pressure sensor configured to obtain an air pressure measurement directly from a scroll of an air blower of the HVAC system and (2) a HVAC controller configured to determine an airflow rate for the HVAC system based on the air pressure measurement and corresponding parameters associated with the air blower.",air blower,air pressure sensor,has part
"Systems for Calibrating Airflow Rates in Heating, Ventilating, and Air Conditioning (HVAC) Ducts and HVAC Systems Including the Same",https://patents.justia.com/patent/20170016642,"Airflow calibration systems are provided that are configured to be received in a duct of a heating, ventilating and air conditioning (HVAC) system.",duct,"heating, ventilating and air conditioning",part of
"Systems for Calibrating Airflow Rates in Heating, Ventilating, and Air Conditioning (HVAC) Ducts and HVAC Systems Including the Same",https://patents.justia.com/patent/20170016642,"The air flow calibration systems include a housing including an air flow grid; and at least one pressure sensing cell positioned in the housing, the at least one cell being configured such that air flows through the at least one cell when the airflow calibration system is positioned in the duct of the HVAC system.",duct,HVAC system,part of
HVAC CONTROLLER WITH HVAC SYSTEM FAILURE DETECTION,https://patents.justia.com/patent/20130158715,"In some cases, the first predetermined amount of time may include a utility shutoff period component and/or a defrost cycle period component.",defrost cycle,shutoff period,subclass of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20180321699,"An HVAC controller may include a user interface, along with a memory for storing a recurring programmable schedule having two or more time periods.",user interface,HVAC controller,part of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20180321699,"The user interface may be configured to allow manual modification by a user of the recurring schedule stored in the memory, wherein the user can associate an HVAC-off control mode with any of the two or more time periods.",HVAC-off,control mode,subclass of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20180321699,"In the HVAC-off control mode, the HVAC controller may not cycle the HVAC unit on regardless of the temperature of the air in the inside space.",HVAC-off control,HVAC controller,facet of
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/12085297,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for advanced monitoring of an HVAC system.",computer programs,computer storage medium,location
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/12085297,"In some implementations, a voltage measurement across at least two interface terminals of a thermostat that controls an HVAC system of a property is obtained.",thermostat,HVAC system,part of
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/12085297,The voltage measurements are analyzed.,voltage,measurement,subclass of
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/12085297,A likely power cycling activity of a component of the HVAC system is determined based on analyzing the voltage measurements.,HVAC,voltage,uses
HVAC CONTROLLER WITH FAULT SENSITIVITY,https://patents.justia.com/patent/20130158718,An HVAC controller may be programmed to identify one or more faults with respect to the operation of a connected HVAC system.,HVAC controller,HVAC,use
HVAC CONTROLLER WITH FAULT SENSITIVITY,https://patents.justia.com/patent/20130158718,"In some cases, the HVAC controller may record a fault to a fault log and/or display an alert on the display of the HVAC controller only after a predetermined number of faults of the same fault type have been identified by the HVAC controller, sometime within a predetermined number of cycles of the HVAC system or within a predetermined amount of time.",fault log,fault,facet of
SYSTEM AND METHOD FOR ALIGNING HVAC CONSUMPTION WITH RENEWABLE POWER PRODUCTION WITH THE AID OF A DIGITAL COMPUTER,https://patents.justia.com/patent/20210325067,A time series change in HVAC load data is used as input modified scenario values that represent an HVAC load shape.,load shape,HVAC,facet of
SYSTEM AND METHOD FOR ALIGNING HVAC CONSUMPTION WITH RENEWABLE POWER PRODUCTION WITH THE AID OF A DIGITAL COMPUTER,https://patents.justia.com/patent/20210325067,"Time series change in indoor temperature data can be calculated using only inputs of time series change in the time series HVAC load data combined with thermal mass, thermal conductivity, and HVAC efficiency.",HVAC efficiency,HVAC,facet of
SYSTEM AND METHOD FOR ALIGNING HVAC CONSUMPTION WITH RENEWABLE POWER PRODUCTION WITH THE AID OF A DIGITAL COMPUTER,https://patents.justia.com/patent/20210325067,The approach is applicable for both winter and summer and can be applied when the building has an on-site renewable power system.,summer,winter,opposite of
HVAC controller with fault sensitivity,https://patents.justia.com/patent/10533761,An HVAC controller may be programmed to identify one or more faults with respect to the operation of a connected HVAC system.,HVAC controller,HVAC,use
HVAC controller with fault sensitivity,https://patents.justia.com/patent/10533761,"In some cases, the HVAC controller may record a fault to a fault log and/or display an alert on the display of the HVAC controller only after a predetermined number of faults of the same fault type have been identified by the HVAC controller, sometime within a predetermined number of cycles of the HVAC system or within a predetermined amount of time.",fault log,fault,facet of
HVAC system grading systems and methods,https://patents.justia.com/patent/9551495,"A second tracking module increments a second period of time when, during the predetermined period of time: (i) the HVAC system is ON and (ii) a split temperature of the HVAC system is outside of a temperature range of the HVAC system.",temperature range,temperature,subclass of
HVAC system grading systems and methods,https://patents.justia.com/patent/9551495,A grade determination module determines a grade of the HVAC system for the predetermined period of time based on both the first period of time and the second period of time.,grade determination module,HVAC system,facet of
HVAC system grading systems and methods,https://patents.justia.com/patent/9551495,A reporting module generates a displayable report for the HVAC system for the predetermined period of time.,HVAC,system,part of
HVAC system grading systems and methods,https://patents.justia.com/patent/9551495,The report includes the grade of the HVAC system for the predetermined period of time.,HVAC,system,subclass of
HVAC CONTROLLER WITH PREDICTIVE COST OPTIMIZATION,https://patents.justia.com/patent/20200125045,The processing circuit is configured to perform a second optimization subject to a constraint based on a result of the first optimization to generate a second set of control decisions for the HVAC equipment and to combine the first and second sets to generate a combined set of control decisions for the HVAC equipment.,control decisions,optimization,subclass of
HVAC CONTROLLER WITH PREDICTIVE COST OPTIMIZATION,https://patents.justia.com/patent/20200125045,The processing circuit is configured to operate the HVAC equipment in accordance with the combined set of control decisions.,HVAC,processing circuit,has part
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/11493222,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for advanced monitoring of an HVAC system.",computer programs,computer storage medium,location
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/11493222,"In some implementations, a voltage measurement across at least two interface terminals of a thermostat that controls an HVAC system of a property is obtained.",thermostat,HVAC system,part of
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/11493222,The voltage measurements are analyzed.,voltage,measurement,subclass of
Advanced monitoring of an HVAC system,https://patents.justia.com/patent/11493222,A likely power cycling activity of a component of the HVAC system is determined based on analyzing the voltage measurements.,HVAC,voltage,uses
HVAC analytics,https://patents.justia.com/patent/10845079,The monitor control unit determines an action for correcting the error of the HVAC system.,monitor control unit,HVAC system,part of
HVAC analytics,https://patents.justia.com/patent/10845079,"The monitor control unit provides, for output, data identifying the error of the HVAC system and the action for correcting the error of the HVAC system.",monitor control unit,HVAC,use
Method and a mobile communication device for controlling an HVAC component in a building,https://patents.justia.com/patent/11435106,Identifier information is obtained from the physical identifier object (5) by a mobile communication device (1) and transmitted via the wireless network (6) to a remote computer system (2).,physical identifier,Identifier,subclass of
Method and a mobile communication device for controlling an HVAC component in a building,https://patents.justia.com/patent/11435106,The remote computer system (2) returns HVAC component data linked to the identifier information.,remote computer system,HVAC,facet of
Method and a mobile communication device for controlling an HVAC component in a building,https://patents.justia.com/patent/11435106,The mobile communication device (1) uses the component data for generating a user interface (100) for an HVAC virtual room unit for controlling the HVAC component (3).,virtual room unit,HVAC,subclass of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,A method and system of determining and displaying energy savings from an HVAC system operating in an energy saving mode.,energy saving mode,HVAC,facet of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The HVAC system is operated to maintain a comfort mode temperature during a learning period.,comfort mode,HVAC,facet of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The energy consumed by the HVAC system at multiple outside ambient conditions during the learning period is determined.,HVAC,energy consumed,subclass of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The correlation between a specific ambient condition and energy consumed by the HVAC system is determined.,ambient condition,HVAC system,facet of
METHODS AND APPARATUSES FOR DISPLAYING ENERGY SAVINGS FROM AN HVAC SYSTEM,https://patents.justia.com/patent/20110160913,The HVAC system is run to maintain an energy saving setpoint temperature.,setpoint temperature,HVAC,facet of
Automated sealant application to assembled HVAC duct components and blanks for forming assembled HVAC duct components,https://patents.justia.com/patent/11408635,"A robotic system is provided for repeatedly and reproducibly applying a sealant to a seam in an assembled heating, ventilation and air conditioning (“HVAC”) duct component.",duct,"heating, ventilation and air conditioning",use
Automated sealant application to assembled HVAC duct components and blanks for forming assembled HVAC duct components,https://patents.justia.com/patent/11408635,The applied sealant has a predetermined location on the assembled HVAC duct component to seal the seam.,duct,HVAC,use
SYSTEM AND METHOD FOR OPERATING AN HVAC SYSTEM OF A VEHICLE,https://patents.justia.com/patent/20170368915,The HVAC system executes the input instruction.,HVAC,system,subclass of
SYSTEM AND METHOD FOR OPERATING AN HVAC SYSTEM OF A VEHICLE,https://patents.justia.com/patent/20170368915,"Furthermore, an olfactory signal is generated for the user by means of an olfactory device of the HVAC system as an input confirmation.",input confirmation,HVAC system,facet of
SYSTEM AND METHOD FOR OPERATING AN HVAC SYSTEM OF A VEHICLE,https://patents.justia.com/patent/20170368915,"Furthermore, a corresponding HVAC system for a vehicle is provided.",HVAC system,vehicle,part of
AUTOMATIC HVAC FAN OPERATION DURING WARM-UP STAGE,https://patents.justia.com/patent/20090078781,The user sets the heating/cooling temperature of the HVAC system to maximum and then sets the HVAC system to an automatic mode.,heating/cooling temperature,HVAC system,facet of
AUTOMATIC HVAC FAN OPERATION DURING WARM-UP STAGE,https://patents.justia.com/patent/20090078781,The occupant detection system determines if there is at least one occupant inside the vehicle.,occupant detection system,occupant,facet of
TRAINING SYSTEM FOR A USER TO TROUBLESHOOT PROBLEMS IN AN HVAC PROCESS,https://patents.justia.com/patent/20170236444,The training system comprises a self-diagnostic thermostat configured to facilitate a user to compare components in the HVAC process to human body parts.,thermostat,HVAC,part of
HVAC EQUIPMENT SCREENING SYSTEMS,https://patents.justia.com/patent/20250075921,"In the present embodiments, the HVAC equipment is mounted operably on a roof of a building and the screening system is assembled operatively so as to surround the HVAC equipment.",roof,building,part of
HVAC EQUIPMENT SCREENING SYSTEMS,https://patents.justia.com/patent/20250075921,"The screening system includes a screen panel that is adjustable between a lower, closed position and an upper, open position, e.g., by moving at least part of the screen panel selectively upwardly or downwardly.",adjustable,screen panel,facet of
HVAC EQUIPMENT SCREENING SYSTEMS,https://patents.justia.com/patent/20250075921,"In the present embodiments, the screening system is configured to be operatively assembled so as to surround the HVAC equipment when mounted operably on a roof of a building.",roof,building,part of
"CONFIGURATION MANAGEMENT SYSTEMS FOR HEATING, VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEMS",https://patents.justia.com/patent/20190264934,"A configuration management system for a heating, ventilation, and air conditioning (HVAC) system includes a controller having a memory storing a baseline configuration of the HVAC system.","heating, ventilation, and air conditioning",HVAC,subclass of
"CONFIGURATION MANAGEMENT SYSTEMS FOR HEATING, VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEMS",https://patents.justia.com/patent/20190264934,The controller is also configured to perform a control action in response to determining that the current configuration is different than the baseline configuration.,control action,configuration,part of
System and method for aligning HVAC consumption with photovoltaic production with the aid of a digital computer,https://patents.justia.com/patent/11047586,A time series change in HVAC load data is used as input modified scenario values that represent an HVAC load shape.,load shape,HVAC,facet of
System and method for aligning HVAC consumption with photovoltaic production with the aid of a digital computer,https://patents.justia.com/patent/11047586,"Time series change in indoor temperature data can be calculated using only inputs of time series change in the time series HVAC load data combined with thermal mass, thermal conductivity, and HVAC efficiency.",HVAC efficiency,HVAC,facet of
System and method for aligning HVAC consumption with photovoltaic production with the aid of a digital computer,https://patents.justia.com/patent/11047586,The approach is applicable for both winter and summer and can be applied when the building has an on-site PV system.,summer,winter,opposite of
USB HVAC SERVICE VERIFICATION,https://patents.justia.com/patent/20100298984,Associated with the enclosure is an HVAC system control unit including a microcontroller for controlling an operation of the HVAC system.,microcontroller,HVAC system control unit,use
USB HVAC SERVICE VERIFICATION,https://patents.justia.com/patent/20100298984,The HVAC system control unit further includes a memory associated with the microcontroller and configured to store data associated with operation of the HVAC system.,HVAC system control unit,microcontroller,has part
USB HVAC SERVICE VERIFICATION,https://patents.justia.com/patent/20100298984,The microcontroller is configurable to directly transfer the data between the memory and a portable flash memory device.,flash memory,memory,subclass of
DEEP DRAW HVAC COILS WITH BUILT-IN SELF-CLEANING MECHANISM AND METHOD OF TREATING DEEP HVAC COILS,https://patents.justia.com/patent/20230280116,"For example, some embodiments of a deep HVAC coil include a series of built-in self-cleaning mechanisms disposed among an array of heat transfer coils.",heat transfer coil,HVAC coil,subclass of
HVAC DOOR AND LINKAGE ASSEMBLY FOR DOORS ROTATING ALONG NON-PARALLEL AXES,https://patents.justia.com/patent/20200300481,"A heating, ventilation, and air conditioning (HVAC) door assembly includes a first HVAC door rotating about a first axis, a second HVAC door rotating about a second axis that is nonparallel with the first axis, an actuator, a mode cam.",mode cam,actuator,subclass of
"CONFIGURATION MANAGEMENT SYSTEMS FOR HEATING, VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEMS",https://patents.justia.com/patent/20200232668,"A configuration management system for a heating, ventilation, and air conditioning (HVAC) system includes a controller having a memory storing a baseline configuration of the HVAC system.","heating, ventilation, and air conditioning",HVAC,subclass of
"CONFIGURATION MANAGEMENT SYSTEMS FOR HEATING, VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEMS",https://patents.justia.com/patent/20200232668,The controller is also configured to perform a control action in response to determining that the current configuration is different than the baseline configuration.,control action,configuration,part of
Portable wireless remote control unit for use with zoned HVAC system,https://patents.justia.com/patent/8224491,An HVAC remote control unit for use in an HVAC system is described.,HVAC remote control unit,HVAC,use
Portable wireless remote control unit for use with zoned HVAC system,https://patents.justia.com/patent/8224491,"In some instances, an HVAC remote control unit may be provided that wirelessly communicates with two or more HVAC controllers and/or other HVAC devices in a zoned HVAC system.",HVAC remote control unit,HVAC controllers,subclass of
Portable wireless remote control unit for use with zoned HVAC system,https://patents.justia.com/patent/8224491,"When so provided, the remote control unit may be configured to allow a user to select between two or more zones of the zoned HVAC system, and to load one or more of the parameters and/or settings associated with a selected zone via the wireless interface.",zones,HVAC system,facet of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,A monitoring system is configured to monitor a property.,monitoring system,monitor,use
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,The system further includes an HVAC system that is configured to generate and provide conditioned air to the property and that is configured to generate HVAC system data that reflects an attribute of the HVAC system.,conditioned air,HVAC,subclass of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,The system includes a monitor control unit that is configured to determine that the HVAC system is likely malfunctioning.,monitor control unit,HVAC system,part of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,The control unit is configured to determine that the HVAC system is likely operating correctly.,HVAC,control unit,has part
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20240142127,The control unit is configured to determine a cause of the HVAC system transitioning from likely malfunctioning to likely operating correctly.,HVAC,control unit,has part
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,A networked HVAC system is implemented as part of a multi-unit dwelling.,networked HVAC system,HVAC,subclass of
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,"Each individual HVAC unit includes a localized HVAC unit controller, which is connected to an external network.",HVAC unit controller,HVAC unit,part of
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,"The HVAC unit controller also can be connected to any other controllable HVAC devices in the unit, such as an exhaust fan.",exhaust fan,HVAC,subclass of
Networked HVAC system having local and networked control,https://patents.justia.com/patent/11859845,The HVAC system also enables learning and predictive modeling for adapting to real-time and anticipated condition requirements within each zone.,predictive modeling,learning,subclass of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20120067560,"An HVAC controller may include a user interface, along with a memory for storing a recurring programmable schedule having two or more time periods.",user interface,HVAC controller,part of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20120067560,"The user interface may be configured to allow manual modification by a user of the recurring schedule stored in the memory, wherein the user can associate an HVAC-off control mode with any of the two or more time periods.",HVAC-off,control mode,subclass of
HVAC SCHEDULE WITH DESIGNATED OFF PERIODS,https://patents.justia.com/patent/20120067560,"In the HVAC-off control mode, the HVAC controller may not cycle the HVAC unit on regardless of the temperature of the air in the inside space.",HVAC-off control,HVAC controller,facet of
Simplified schedule programming of an HVAC controller,https://patents.justia.com/patent/10317100,"The HVAC controller may include a user interface, such as but not limited to a touchscreen display, that enables a user to view and/or manipulate settings within the HVAC controller including but not limited to parameters within a programmable schedule.",touchscreen display,user interface,subclass of
Simplified schedule programming of an HVAC controller,https://patents.justia.com/patent/10317100,"In some cases, the HVAC controller may provide the user with a better user experience when viewing or editing the programmable schedule.",programmable schedule,HVAC controller,subclass of
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,"The Control System includes 2 wireless contacts, 1 transformer, and 1 control keypad.",control keypad,Control System,part of
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,"The Timer determines when the Relay engages and had dip switches and a timer dial that allows the delay to be set in seconds, minutes, or hours.",dip switch,Timer,subclass of
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,The HVAC-ES operates when a door or window fitted with the wireless contacts is left open beyond the programmed time.,door,window,has part
Automatic HVAC energy saver control unit,https://patents.justia.com/patent/20120181342,Once the door or window is closed the relay disengages and the power to the HVAC unit is restored.,HVAC unit,relay,has part
AUTOMATIC HVAC CONTROL SYSTEM,https://patents.justia.com/patent/20180058711,"An automatic HVAC control system is configured to control an HVAC unit, and the HVAC unit includes a heating mode and a cooling mode for modifying an air temperature of an inside space.",HVAC unit,HVAC control system,has part
HVAC system having learning and prediction modeling,https://patents.justia.com/patent/11892185,A networked HVAC system is implemented as part of a multi-unit dwelling.,networked HVAC system,HVAC,subclass of
HVAC system having learning and prediction modeling,https://patents.justia.com/patent/11892185,"Each individual HVAC unit includes a localized HVAC unit controller, which is connected to an external network.",HVAC unit controller,HVAC unit,part of
HVAC system having learning and prediction modeling,https://patents.justia.com/patent/11892185,"The HVAC unit controller also can be connected to any other controllable HVAC devices in the unit, such as an exhaust fan.",exhaust fan,HVAC,subclass of
HVAC system having learning and prediction modeling,https://patents.justia.com/patent/11892185,The HVAC system also enables learning and predictive modeling for adapting to real-time and anticipated condition requirements within each zone.,predictive modeling,learning,subclass of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20220349602,A monitoring system is configured to monitor a property.,monitoring system,monitor,use
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20220349602,The system further includes an HVAC system that is configured to generate and provide conditioned air to the property and that is configured to generate HVAC system data that reflects an attribute of the HVAC system.,conditioned air,HVAC,subclass of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20220349602,The system includes a monitor control unit that is configured to determine that the HVAC system is likely malfunctioning.,monitor control unit,HVAC system,part of
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20220349602,The control unit is configured to determine that the HVAC system is likely operating correctly.,HVAC,control unit,has part
HVAC SERVICE PERFORMANCE,https://patents.justia.com/patent/20220349602,The control unit is configured to determine a cause of the HVAC system transitioning from likely malfunctioning to likely operating correctly.,HVAC,control unit,has part
HVAC controller with HVAC system failure detection,https://patents.justia.com/patent/10747243,"In some cases, the first predetermined amount of time may include a utility shutoff period component and/or a defrost cycle period component.",defrost cycle,shutoff period,subclass of
"System and method for providing constraint-based heating, ventilation and air-conditioning (HVAC) system optimization with the aid of a digital computer",https://patents.justia.com/patent/10203674,A time series change in HVAC load data is used as input modified scenario values that represent an HVAC load shape.,load shape,HVAC,facet of
